REF_AREA,Reference area,MEASURE,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE
NLD,Netherlands,SP_DS,Share of population who are daily smokers,Percentage of population,2019,15.4
RUS,Russia,SP_DS,Share of population who are daily smokers,Percentage of population,2019,25.8
ROU,Romania,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.7
HRV,Croatia,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,0.8
GRC,Greece,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.8
CZE,Czechia,SP_DS,Share of population who are daily smokers,Percentage of population,2019,18.1
CAN,Canada,SP_DS,Share of population who are daily smokers,Percentage of population,2019,10.3
ITA,Italy,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,2.6
ISL,Iceland,SP_DS,Share of population who are daily smokers,Percentage of population,2019,8.2
HUN,Hungary,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,2
CZE,Czechia,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,4.9
CAN,Canada,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,4.7
AUT,Austria,SP_DS,Share of population who are daily smokers,Percentage of population,2019,20.6
AUS,Australia,SP_DS,Share of population who are daily smokers,Percentage of population,2019,11.2
ROU,Romania,SP_DS,Share of population who are daily smokers,Percentage of population,2019,18.7
HRV,Croatia,SP_DS,Share of population who are daily smokers,Percentage of population,2019,22.1
BGR,Bulgaria,SP_DS,Share of population who are daily smokers,Percentage of population,2019,29.1
USA,United States,SP_DS,Share of population who are daily smokers,Percentage of population,2019,10.9
GBR,United Kingdom,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,5.7
SVN,Slovenia,SP_DS,Share of population who are daily smokers,Percentage of population,2019,17.4
SVK,Slovak Republic,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.2
ISR,Israel,SP_DS,Share of population who are daily smokers,Percentage of population,2019,16.4
LTU,Lithuania,SP_DS,Share of population who are daily smokers,Percentage of population,2019,18.9
ITA,Italy,SP_DS,Share of population who are daily smokers,Percentage of population,2019,18.6
HUN,Hungary,SP_DS,Share of population who are daily smokers,Percentage of population,2019,24.9
BRA,Brazil,SP_DS,Share of population who are daily smokers,Percentage of population,2019,9.8
GBR,United Kingdom,SP_DS,Share of population who are daily smokers,Percentage of population,2019,15.8
TUR,Türkiye,SP_DS,Share of population who are daily smokers,Percentage of population,2019,28
SWE,Sweden,SP_DS,Share of population who are daily smokers,Percentage of population,2019,10.4
SVN,Slovenia,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.7
SVK,Slovak Republic,SP_DS,Share of population who are daily smokers,Percentage of population,2019,21
POL,Poland,SP_DS,Share of population who are daily smokers,Percentage of population,2019,17.1
NOR,Norway,SP_DS,Share of population who are daily smokers,Percentage of population,2019,9
NZL,New Zealand,SP_DS,Share of population who are daily smokers,Percentage of population,2019,12.9
LUX,Luxembourg,SP_DS,Share of population who are daily smokers,Percentage of population,2019,16.8
LVA,Latvia,SP_DS,Share of population who are daily smokers,Percentage of population,2019,22.6
KOR,Korea,SP_DS,Share of population who are daily smokers,Percentage of population,2019,16.4
PER,Peru,SP_DS,Share of population who are daily smokers,Percentage of population,2019,8.8
KOR,Korea,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,2.6
ISR,Israel,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.5
IRL,Ireland,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,5
ISL,Iceland,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,4.3
FRA,France,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,4.4
FIN,Finland,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,2.2
AUS,Australia,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,2.1
IDN,Indonesia,SP_DS,Share of population who are daily smokers,Percentage of population,2019,32.6
IND,India,SP_DS,Share of population who are daily smokers,Percentage of population,2019,8.6
CHN,China (People’s Republic of),SP_DS,Share of population who are daily smokers,Percentage of population,2019,25.4
BGR,Bulgaria,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,0.6
ARG,Argentina,SP_DS,Share of population who are daily smokers,Percentage of population,2019,24.3
USA,United States,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,4.5
PRT,Portugal,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.6
LTU,Lithuania,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.6
AUT,Austria,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,0.7
IRL,Ireland,SP_DS,Share of population who are daily smokers,Percentage of population,2019,14
GRC,Greece,SP_DS,Share of population who are daily smokers,Percentage of population,2019,24.9
FRA,France,SP_DS,Share of population who are daily smokers,Percentage of population,2019,24
DEU,Germany,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,3.3
FIN,Finland,SP_DS,Share of population who are daily smokers,Percentage of population,2019,13.3
NOR,Norway,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,2.6
NZL,New Zealand,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,4.8
LVA,Latvia,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,3
JPN,Japan,SP_DS,Share of population who are daily smokers,Percentage of population,2019,16.7
NLD,Netherlands,SP_RVPU,Share of population who are regular vaping product users,Percentage of population,2019,1.6
ZAF,South Africa,SP_DS,Share of population who are daily smokers,Percentage of population,2019,20.2
CRI,Costa Rica,SP_DS,Share of population who are daily smokers,Percentage of population,2019,8.9
PRT,Portugal,SP_DS,Share of population who are daily smokers,Percentage of population,2019,14.2
